Memory,Storage,CPU_class,Screen_size,year,price
16,256,0,16,2025,85250
32,512,2,14,2024,155461
8,1024,0,16,2024,87627
16,1024,1,16,2024,117733
16,256,3,14,2025,158608
32,256,0,16,2024,102246
8,512,3,15.6,2024,156630
8,512,2,15.6,2024,129579
16,1024,3,16,2025,170807
16,256,0,15.6,2025,84770
32,256,2,15.6,2024,153112
16,256,3,14,2025,159503
32,1024,3,16,2024,188073
16,256,0,16,2024,82665
8,512,3,14,2025,159032
8,256,0,16,2024,73443
32,256,2,14,2025,154433
8,1024,1,15.6,2024,112052
32,256,2,16,2025,155375
8,256,2,14,2025,128573
8,1024,0,15.6,2025,85535
8,512,2,14,2025,129474
16,256,3,16,2024,160758
16,512,1,15.6,2025,110281
32,1024,1,15.6,2025,141927
16,512,3,16,2025,171008
16,512,0,15.6,2025,90501
16,512,1,16,2025,117968
32,512,2,14,2024,151164
16,256,1,14,2024,109335
8,1024,3,16,2025,165359
16,1024,1,16,2024,122066
32,256,3,15.6,2024,178054
8,1024,0,15.6,2025,82306
32,1024,2,14,2024,163011
16,1024,2,16,2025,150094
16,512,0,16,2025,88708
8,512,0,14,2025,73410
32,1024,2,15.6,2025,163483
8,256,2,15.6,2024,131734
8,1024,2,15.6,2024,136514
16,1024,0,16,2025,93327
16,1024,2,14,2024,143419
16,512,3,14,2024,163276
8,512,0,14,2024,74421
8,256,1,16,2024,101209
8,1024,1,15.6,2024,112614
16,512,3,16,2025,172022
16,256,1,15.6,2024,113457
16,1024,1,14,2024,116514
16,512,2,15.6,2024,139537
32,512,0,14,2024,102642
16,256,3,16,2025,168457
16,1024,3,16,2025,175254
16,512,2,16,2025,143350
16,1024,2,15.6,2025,148998
16,1024,2,14,2024,144411
8,256,3,14,2024,153969
8,256,3,15.6,2024,152669
32,1024,1,15.6,2024,136987
16,512,1,16,2024,114456
16,512,2,16,2024,136770
8,256,0,14,2024,73848
16,512,3,14,2024,164880
16,1024,3,15.6,2024,170033
16,256,2,15.6,2025,140531
16,512,1,14,2024,111736
16,1024,1,16,2024,121816
32,256,1,16,2024,127886
16,256,2,15.6,2025,140834
